timestamp,total_ema_risk,fft_high_freq_mean,jawline_edge_variance,jawline_roi_area,landmark_lost_count
21:30:55,0.384261,49.825504,1802.259788,2311,0
21:30:56,0.37542,49.873238,1833.847496,2334,0
21:30:57,0.364711,49.810455,1973.547072,2270,0
21:30:58,0.357493,49.565678,1793.669585,2302,0
21:31:00,0.351163,49.816967,1620.936021,2329,0
21:31:01,0.342656,49.805244,1964.951884,2389,0
21:31:02,0.336673,49.394081,1782.771124,2351,0
21:31:03,0.328516,49.860867,1794.060547,2478,0
21:31:04,0.322559,50.441528,2121.044641,2476,0
21:31:05,0.315583,49.487785,1745.702221,2222,0
21:31:06,0.311058,48.384411,1139.505058,2062,0
21:31:07,0.304081,47.32259,1827.255463,2166,0
21:31:08,0.298193,47.662029,1710.050148,2198,0
21:31:09,0.293794,48.559528,1968.773797,2212,0
21:31:10,0.287352,48.666676,1627.91997,2184,0
21:31:11,0.283822,47.838417,1914.467568,2192,0
21:31:12,0.280437,48.843193,1546.125968,2134,0
21:31:13,0.275978,48.874332,1284.428761,2169,0
21:31:14,0.273858,49.033436,1743.002045,2254,0
21:31:15,0.271885,49.742641,1871.445191,2311,0
21:31:16,0.269171,49.44556,1942.015433,2288,0
21:31:17,0.268784,49.16568,2525.664335,2189,0
21:31:18,0.266306,49.685818,4531.031441,1899,0
21:31:19,0.265028,50.25856,5106.079522,1891,0
21:31:20,0.258182,50.1516,7284.753535,1832,4
21:31:21,0.26525,50.1516,7284.753535,1832,9
21:31:22,0.268897,50.1516,7284.753535,1832,10
21:31:23,0.280585,50.1516,7284.753535,1832,13
21:31:24,0.303295,50.1516,7284.753535,1832,18
21:31:25,0.317244,50.1516,7284.753535,1832,21
21:31:26,0.340266,50.1516,7284.753535,1832,25
21:31:27,0.358235,50.1516,7284.753535,1832,28
21:31:28,0.387819,50.1516,7284.753535,1832,32
21:31:29,0.428133,50.1516,7284.753535,1832,37
21:31:30,0.44266,50.1516,7284.753535,1832,40
21:31:31,0.467574,50.1516,7284.753535,1832,45
21:31:32,0.492967,50.1516,7284.753535,1832,50
21:31:33,0.518493,50.1516,7284.753535,1832,55
21:31:34,0.543461,50.1516,7284.753535,1832,60
21:31:35,0.562366,50.1516,7284.753535,1832,64
21:31:36,0.587798,50.1516,7284.753535,1832,70
21:31:37,0.616047,50.1516,7284.753535,1832,77
21:31:38,0.642751,50.1516,7284.753535,1832,84
21:31:39,0.657168,50.1516,7284.753535,1832,88
21:31:40,0.677565,50.1516,7284.753535,1832,94
21:31:41,0.687258,50.1516,7284.753535,1832,97
21:31:42,0.702827,50.1516,7284.753535,1832,102
21:31:43,0.720545,50.1516,7284.753535,1832,108
21:31:44,0.731768,50.1516,7284.753535,1832,112
21:31:45,0.74253,50.1516,7284.753535,1832,116
21:31:46,0.75285,50.1516,7284.753535,1832,120
21:31:47,0.765167,50.1516,7284.753535,1832,125
21:31:48,0.774583,50.1516,7284.753535,1832,129
21:31:49,0.767769,49.267094,3322.312008,1890,0
21:31:50,0.757761,48.24052,1605.147011,2128,0
21:31:52,0.746001,49.030125,2002.11031,2094,0
21:31:53,0.731095,48.958523,1598.389442,2156,0
21:31:54,0.713149,48.811565,1880.297334,2110,0
21:31:55,0.697847,48.55048,1775.141157,2073,0
21:31:56,0.667619,48.217686,1686.714556,2017,0
21:31:57,0.650764,48.284088,1850.546267,2073,0
21:31:58,0.633108,48.284088,1850.546267,2073,4
21:31:59,0.621233,48.469913,2551.637322,2145,0
21:32:00,0.61297,48.795547,2631.524299,2163,0
21:32:01,0.60129,48.703396,2325.793324,2181,0
21:32:02,0.590655,47.835449,1595.661818,2110,0
21:32:03,0.575173,48.72699,1795.96376,2125,0
21:32:04,0.559322,50.174141,2608.95377,2232,0
21:32:05,0.545029,50.417435,2548.659188,2251,0
21:32:06,0.532181,50.511337,3088.193593,2195,0
21:32:07,0.522935,51.220066,2624.636009,2303,0
21:32:08,0.511254,50.202148,3147.893889,2241,0
21:32:09,0.499571,49.476215,1869.826953,2123,0
21:32:10,0.491299,49.267738,1718.713048,2267,0
21:32:11,0.477942,49.309322,1657.76321,2316,0
21:32:12,0.468705,50.040257,2588.738118,2297,0
21:32:13,0.46163,50.409531,2274.902951,2332,0
21:32:14,0.451775,49.849667,1940.312357,2272,0
21:32:15,0.440882,49.728603,1698.483571,2269,0
21:32:16,0.433351,49.602383,1803.701479,2263,0
21:32:17,0.422655,50.850151,2339.356395,2455,0
21:32:18,0.411072,50.97438,2196.397178,2384,0
21:32:19,0.401036,50.544727,2160.423942,2441,0
21:32:20,0.389633,51.016975,1929.001989,2468,0
21:32:21,0.378934,50.693493,2101.602994,2449,0
21:32:22,0.372258,50.469788,1985.984475,2490,0
21:32:23,0.363281,50.583221,2053.828059,2470,0
21:32:24,0.356928,50.158184,2087.479787,2391,0
21:32:25,0.348232,49.78244,1871.809357,2349,0
21:32:26,0.340574,50.574448,2695.522348,2387,0
21:32:27,0.335025,50.413261,2315.134614,2443,0
21:32:28,0.327378,50.10981,1775.7297,2312,0
21:32:29,0.320103,50.676918,1963.14063,2386,0
21:32:30,0.315041,50.266975,2133.80122,2383,0
21:32:31,0.308308,50.378983,2714.233154,2352,0
21:32:32,0.303844,50.818436,2797.46898,2296,0
21:32:33,0.300211,50.801353,3167.289904,2308,0
21:32:34,0.296119,50.983273,2427.762269,2158,0
21:32:35,0.293497,48.903881,2079.098245,1847,0
21:32:36,0.291988,50.212742,1907.656195,2198,0
21:37:22,0.027617,50.579216,2298.936771,2033,0
21:37:23,0.048759,49.590927,2228.466874,1953,0
21:37:24,0.067807,46.878803,1334.467564,2029,0
21:37:25,0.078779,47.675877,1469.593803,2030,0
21:37:26,0.089507,48.159206,1652.460395,2019,0
21:37:27,0.087027,48.159206,1652.460395,2019,4
21:37:28,0.108773,48.159206,1652.460395,2019,9
21:37:29,0.121776,48.159206,1652.460395,2019,11
21:37:30,0.224161,50.421715,2321.900579,1991,0
21:37:31,0.224476,48.658695,1718.810213,1997,0
21:37:32,0.227113,48.749439,1986.916612,2031,0
21:37:33,0.226067,48.787758,1755.280511,2014,0
21:37:34,0.225532,48.7509,1831.914312,2031,0
21:37:35,0.225881,48.507984,1588.503519,2022,0
21:37:36,0.226188,48.341991,1634.830552,2015,0
21:37:37,0.226262,48.41008,1717.416647,1978,0
21:37:38,0.207132,48.064156,2412.463565,1864,0
21:37:39,0.215444,48.700268,1934.046542,2064,0
21:37:40,0.217426,48.639458,2003.423961,2047,0
21:37:41,0.219767,48.423717,1951.029359,2006,0
21:37:42,0.220938,48.30233,1639.492573,1988,0
21:37:43,0.222488,48.485813,1747.500321,2002,0
21:38:25,0.02869,49.268223,1671.121288,2125,0
21:38:26,0.050243,48.387371,1402.278546,2064,0
21:38:27,0.067831,48.420464,1475.349371,2075,0
21:38:28,0.073473,48.643738,1465.224332,2107,0
21:38:29,0.080877,48.724964,1716.527598,2147,0
21:38:31,0.089937,48.710602,1588.392255,2150,0
21:38:32,0.092397,48.612038,1710.264343,2138,0
21:38:33,0.094064,48.69257,1719.216792,2100,0
21:38:34,0.097982,48.270111,1664.990004,2096,0
21:38:35,0.100484,48.263847,1695.138376,2104,0
21:38:36,0.103003,48.394127,1760.588377,2086,0
21:38:37,0.105243,48.716915,1606.549402,2067,0
21:38:38,0.111237,48.144825,1920.053684,2024,0
21:38:39,0.117422,47.904472,1554.259831,2075,0
21:38:40,0.120444,48.382931,1288.693884,2202,0
21:38:41,0.123104,47.831837,1583.856636,1830,0
21:38:42,0.127804,50.859703,3307.674857,1615,0
21:38:43,0.130954,52.892376,2876.361568,2268,0
21:38:44,0.133218,51.223503,2454.012651,2329,0
21:38:45,0.135604,51.572407,2695.466245,2432,0
21:38:46,0.136686,51.678734,2560.831288,2434,0
21:38:47,0.136368,51.495831,2362.20492,2402,0
21:38:48,0.137002,51.858528,2280.572603,2407,0
21:38:49,0.137305,51.71637,2249.752762,2417,0
21:38:50,0.137071,51.494904,2803.863282,2325,0
21:38:51,0.134653,51.47599,2952.946083,2158,0
21:38:52,0.097522,51.290829,2616.13386,2188,0
21:38:53,0.09932,51.929398,2226.488085,2525,0
21:38:54,0.095121,51.589291,2055.040015,2493,0
21:38:55,0.093464,51.732548,2011.960764,2504,0
21:38:56,0.092394,51.459026,2173.408831,2322,0
21:38:57,0.092972,51.577717,2072.902848,2329,0
22:44:52,0.0,0.0,0.0,0,1
22:44:54,0.0,0.0,0.0,0,2
22:44:55,0.0,0.0,0.0,0,3
22:44:56,0.0,0.0,0.0,0,4
22:44:57,0.0,0.0,0.0,0,6
22:44:58,0.302601,48.106506,4530.673971,1248,0
22:44:59,0.282726,48.106506,4530.673971,1248,1
22:45:00,0.270469,48.106506,4530.673971,1248,2
22:45:01,0.255013,48.106506,4530.673971,1248,4
22:45:02,0.259191,48.106506,4530.673971,1248,7
22:45:03,0.301096,48.106506,4530.673971,1248,11
22:45:04,0.212572,45.361855,5135.71829,1100,0
22:45:05,0.210625,45.718689,3467.641701,1505,0
22:45:06,0.220178,44.367584,3632.881118,1531,0
22:45:07,0.22633,43.411526,2217.366306,1622,0
22:45:08,0.228595,43.898815,2389.331168,1629,0
22:45:09,0.232064,43.286274,2739.133629,1545,0
22:45:10,0.236187,42.801121,2661.679779,1510,0
22:45:11,0.240158,42.938896,2533.261565,1525,0
22:45:12,0.241411,42.993786,2644.642988,1493,0
